Rank,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
62,Ryan Sabol,BUFF,18,37.8,19.8,6.7,15.5,0.43,4.1,10,0.406,2.4,2.9,0.83,0.7,3.1,3.8,3.6,0.7,0.1,1.8,1.1
63,Prophet Johnson,CSUS,18,37.3,19.8,7.2,15.1,0.48,1.7,4.2,0.395,3.7,5,0.733,1.6,5.1,6.7,3.8,2.5,0.4,2.3,1.7
64,Jalen Quinn,DRAKE,20,32.8,19.8,7.2,15.8,0.456,1.5,4,0.375,3.9,5.7,0.675,0.7,3.1,3.8,2.6,1.1,0.1,3.1,2.7
65,D.J. Smith,CAM,18,36.6,19.7,5.8,15.6,0.374,2.9,9.2,0.313,5.2,6.3,0.816,1,2.8,3.8,2.2,1.7,0.1,1.8,2
66,Bruce Thornton,OSU,20,36.7,19.7,6.9,12.5,0.552,1.7,4.4,0.386,4.2,5.2,0.808,1.1,4.3,5.4,4.1,1.2,0.1,1.3,1.6
67,"Meechie Johnson, Jr.",SOCAR,18,32.7,19.7,5.4,13,0.419,1.8,5.6,0.33,6.9,8.4,0.822,0.3,2.7,2.9,4.8,1.4,0.2,2.4,2.3
68,Ring Malith,SIUE,3,36.3,19.7,4.7,12.7,0.368,2.7,5.7,0.471,7.7,8.7,0.885,0.7,5,5.7,1.3,0.7,0.7,2.7,2.3
69,Hannes Steinbach,UWASH,20,35.3,19.7,7.4,12.3,0.602,0.6,1.8,0.343,4.3,5.5,0.78,4.2,7.5,11.6,1.4,1.2,1.1,2.1,2.6
70,Dailyn Swain,TEXAS,18,34.2,19.6,6.5,11.8,0.549,1.1,2.9,0.385,5.5,6.7,0.825,1.6,6.3,7.9,3.3,1.8,0.3,2.9,2.4
71,Krystian Lewis,ULM,18,36.9,19.6,6.2,15.8,0.393,2.4,7,0.349,4.7,6,0.787,0.8,4.5,5.3,3.4,1.4,0.1,2.8,2.3
72,Donovan O'Day,NKU,20,29.8,19.6,6.3,13.1,0.483,1.9,5.9,0.322,5.1,6.2,0.823,0.7,2.8,3.4,1.8,1.9,0.7,2.4,2.7
73,Jakobi Heady,BTHCK,18,37.4,19.6,5.7,10.5,0.545,1.2,3,0.407,6.9,8.6,0.805,1.3,3.9,5.3,1.9,1.4,0.3,2.1,1.2
74,Cruz Davis,HOF,18,39.3,19.6,6.1,15,0.407,2.2,5.9,0.368,5.2,5.9,0.869,0.3,3.8,4.1,4.3,1.2,0.3,2.4,2.2
75,Jaylin Sellers,PROV,20,31.6,19.6,6.4,13.4,0.476,2.6,5.8,0.448,4.3,5,0.859,1,2.8,3.8,1.6,0.8,0.4,2.3,2.5
76,Justin Neely,UNCG,18,33.5,19.5,5.9,11.1,0.533,0.7,1.7,0.387,7.1,8.8,0.799,2.2,9.2,11.4,2.4,0.7,0.1,2.4,2
77,"Terri Miller, Jr.",PORTL,18,32.2,19.5,7.2,14.6,0.496,1.9,5.1,0.38,3.1,4.6,0.683,0.9,4,4.9,3.5,1.6,0.7,2.6,3.5
78,Kyler D'Augustino,IUI,18,34.7,19.5,7.6,15.2,0.496,1.4,3.8,0.362,3,3.8,0.794,1.2,2.2,3.4,3.4,1.4,0.1,1.8,3.2
79,Pryce Sandfort,UNL,20,35.2,19.4,6.6,13.6,0.483,4,9.5,0.418,2.4,2.7,0.887,0.5,4.1,4.5,1.8,0.9,0.4,0.8,2
80,Austin Benigni,USNA,18,37,19.4,6.2,14,0.444,2.3,5.3,0.442,4.6,5.3,0.874,0.3,3.1,3.4,4.4,0.9,0.3,2.6,2.1
81,Del Jones,RADF,16,33.8,19.4,6.4,15.9,0.402,1.5,4.8,0.316,5.1,6,0.854,0.6,3.8,4.3,3.1,0.8,0.5,3,1.8
82,Alfred Worrell,MORST,14,31.6,19.4,5,13.1,0.38,2.9,8.2,0.357,6.4,7.2,0.891,0.9,3.8,4.7,1.6,0.9,0.3,2.4,2.9
83,"Nigel James, Jr.",MARQ,20,32.3,19.3,7.4,15,0.493,1.7,4.4,0.386,2.8,4.3,0.651,0.7,3.3,4,5.5,2.1,0.4,3.4,2.3
84,Lewis Walker,NC A&T,18,36.2,19.3,6.3,12.1,0.518,1.2,2.9,0.415,5.5,6.7,0.825,0.8,3.8,4.6,1.9,0.7,0.1,1.8,2.4
85,Teagan Moore,WKU,15,29.1,19.2,5.9,10.6,0.56,1.5,2.8,0.548,5.8,7.7,0.757,1.8,3.4,5.2,1.3,0.9,0.1,1.5,2.6
86,Chandler Cuthrell,ELON,18,29.2,19.1,6.1,13.4,0.452,0.8,3.5,0.222,6.2,8.4,0.742,1.6,4.5,6.1,1.9,1.1,0.3,2.3,1.9
87,Andrew Henderson,UCR,20,33.6,19.1,6.8,16.9,0.401,2.6,8.4,0.311,3,3.7,0.822,1,4.4,5.4,2,1.1,0.9,2.1,2.9
88,Nick Janowski,STTOM,16,32.9,19.1,7.3,13.6,0.532,2.1,5.6,0.382,2.4,3.9,0.629,1.1,4.3,5.4,2.4,0.5,0.4,1.3,0.9
89,Jalen Cox,COLGT,16,35.1,19,7,13.8,0.507,0.6,1.6,0.346,4.4,5.3,0.835,0.9,4.6,5.5,4.7,1.4,0.3,2.3,2
90,Wes Enis,USOFL,18,35.7,19,6.1,14.4,0.423,3.9,9.9,0.397,2.8,3.4,0.836,0.7,3.2,3.9,2.8,1.1,0.1,1.8,2.1
91,Nate Ament,TENN,16,32.8,19,5.7,13.3,0.427,1.3,3.6,0.368,6.3,7.9,0.802,1.8,4.2,6,2.3,0.8,0.8,2.1,1.8
92,Quinn Denker,NOCOL,18,36.6,18.9,6.9,14.8,0.464,1.3,4.2,0.32,3.8,4.8,0.793,0.9,5.1,6,7.4,0.8,0.5,2.3,2.8
93,Boopie Miller,SMU,17,35.5,18.9,6.2,13,0.48,1.9,4.6,0.423,4.5,5.5,0.819,0.4,3.3,3.7,6.2,1.1,0.1,2.8,2.6
94,Ty Harper,ORU,15,29.6,18.9,6.1,14.3,0.428,1.7,5.9,0.295,4.9,5.6,0.881,0.7,2.3,3,2.7,0.7,0.1,2.7,2.2
95,Marqui Worthy Jr.,UCR,20,36.1,18.9,5.9,13.7,0.431,1.9,5.3,0.349,5.3,6.9,0.761,1.2,3.9,5.1,2.9,1.5,0.3,2.9,2.6
96,Josh Beadle,CCU,18,34.2,18.8,6.4,15.2,0.42,0.9,4.1,0.219,5.1,6,0.852,0.7,3.6,4.2,2.9,0.8,0.1,2.6,2.7
97,Gavin Doty,SIENA,20,36.8,18.7,6.6,13.6,0.487,1.5,4.2,0.357,4,4.7,0.86,1.7,6,7.6,2.6,1.3,0,1.1,1.4
98,Mikel Brown Jr.,LVILL,10,30.5,18.7,5.9,14.1,0.418,3.2,8.4,0.381,3.7,4.5,0.822,0.1,3.6,3.7,4.2,1.3,0.2,3.5,1.8
99,Dejour Reaves,FORD,18,34.9,18.7,6.6,14.3,0.457,0.9,3.7,0.254,4.6,5.3,0.865,0.8,3.4,4.2,3.6,2,0.3,2.2,2.1
100,Dylan Faulkner,SAMF,17,27.6,18.6,6.8,10.8,0.63,0,0.2,0,5,8.5,0.586,2.8,7,9.8,2.1,0.7,1.4,1.4,1.6
101,Ryan Conwell,LVILL,17,31.8,18.6,6.2,15.4,0.405,3.4,10.1,0.333,2.8,3.2,0.889,0.6,4.2,4.9,2.7,1.2,0.2,2.2,2.6
102,Tre Carroll,XAV,19,30.8,18.6,7.4,14,0.526,1.3,3.9,0.324,2.6,3.4,0.769,1.2,4.5,5.6,2.5,0.8,1.5,2.7,2
103,Greyson Uelmen,UND,16,30.4,18.6,5.9,12.7,0.463,1.3,4.3,0.294,5.6,6.8,0.833,0.8,2.1,2.8,2.6,1.1,0.1,2.4,2
104,Leonardo Bettiol,UMass,18,28.6,18.6,6.6,10.3,0.64,0,0,0,5.4,7.1,0.758,2.3,5.3,7.6,1.9,1.1,0.2,2.7,3.7
