Rank,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1408,Fats Billups III,LONG,16,22.1,8.9,3.3,6.8,0.477,1.8,4.2,0.418,0.6,1.1,0.556,0.3,2.2,2.5,1.1,1.5,0.4,0.9,1.4
1409,German Plotnikov,HOF,16,32.9,8.9,3,7.9,0.378,1.6,5.1,0.321,1.3,1.4,0.909,1,2.1,3.1,0.9,0.8,0.7,0.5,1.5
1410,Diego Campisano,NAU,16,22.2,8.9,2.8,6.3,0.45,1.9,4.1,0.47,1.3,1.6,0.84,0.8,2.4,3.2,0.5,0.5,0.1,0.8,1.5
1411,Lance Waddles,OMAHA,16,26.8,8.9,3.3,8.9,0.373,1.4,5,0.288,0.8,1.1,0.765,0.6,3.5,4.1,1.8,0.5,0.3,0.9,1.8
1412,Ty Tabales,BRYNT,15,28.9,8.9,3.3,10.5,0.312,1.1,5.5,0.207,1.2,1.7,0.72,0.8,1.5,2.3,3.4,1.6,0.2,1.9,2.1
1413,Oscar Cluff,PURD,20,23.6,8.9,3.7,5.5,0.673,0,0,0,1.5,2.4,0.604,2.5,3.7,6.1,1.6,0.4,0.7,0.7,2.9
1414,Sananda Fru,LVILL,18,21.9,8.8,3.6,4.9,0.719,0.1,0.3,0.4,1.6,2.5,0.644,2.5,3.6,6.1,1.4,0.6,1.5,1.2,2.5
1415,Pablo Tamba,LSU,18,30.9,8.8,3,5.2,0.581,0.3,1.1,0.3,2.5,4.3,0.577,2.4,4.4,6.9,1.7,1.3,0.6,1.3,3.1
1416,Jarin Stevenson,UNC,18,24.7,8.8,2.9,5.6,0.52,0.9,2.5,0.378,2.1,2.8,0.745,1.4,3.2,4.6,0.8,0.5,0.6,0.8,2.2
1417,Jerome Morton,WSU,18,25.8,8.8,2.9,6.2,0.464,1.4,2.9,0.481,1.7,2,0.833,0.9,1.3,2.2,2.3,0.6,0.2,1.3,2.2
1418,Lilian Marville,UNCG,17,26.3,8.8,3.1,6.8,0.457,1.5,2.9,0.52,1.1,1.7,0.621,0.1,1.6,1.8,2.3,0.8,0,1.1,1.5
1419,T.J. Long,UVM,11,27.2,8.8,2.9,8.8,0.33,1.1,5.1,0.214,1.9,2.7,0.7,0.5,4.5,5,1.4,0.2,0.2,1.1,2
1420,Xavier Lipscomb,MSMU,20,31.5,8.8,2.2,6.2,0.358,1.2,3.6,0.324,3.3,3.7,0.89,0.9,3.7,4.5,3.7,1.2,0,2.1,2
1421,Chris Dockery,UMKC,15,25,8.8,3.3,5.9,0.551,0.6,1.3,0.474,1.7,2.8,0.595,1.6,4.6,6.2,1.1,0.3,0.2,1.5,1.8
1422,Kenyon Aguino,MONT,18,23.9,8.8,3.3,5.9,0.561,0.4,1.1,0.421,1.7,2.1,0.789,1.1,2.9,4,1.5,0.5,0.4,1,2.2
1423,Jaylen Curry,OKST,18,21.9,8.8,2.9,7.6,0.387,0.9,2.6,0.348,2,2.5,0.8,0.3,2.3,2.6,2.7,1.3,0.1,1.5,1.6
1424,Arden Conyers,CHAR,18,24.5,8.8,2.9,7.1,0.409,1.7,5.2,0.33,1.3,1.6,0.821,0.6,1.1,1.7,0.4,0.3,0.3,0.8,1.6
1425,T.J. Cope,NEWOR,21,21.5,8.8,2.8,4.6,0.598,0.1,0.7,0.143,3.1,4.2,0.742,0.9,2.4,3.3,1,0.5,0.2,1.4,1.9
1426,Jack Campion,SIUE,20,29.1,8.8,2.7,7.3,0.37,1.1,2.4,0.447,2.3,3.2,0.73,0.5,3.3,3.8,5.7,2,0.1,3,2.2
1427,Jayden Reid,NWU,20,24.9,8.8,3.1,8.4,0.371,1,3.2,0.317,1.6,1.8,0.861,0.4,0.7,1.1,4.4,1.1,0.1,1.5,2.4
1428,Josh Odunowo,UMBC,16,23.4,8.8,3.1,5.9,0.521,0,0,0,2.6,3.4,0.764,1.9,3.3,5.1,0.9,0.1,0.3,1,2.2
1429,Brady Swartz,WMY,12,24.8,8.8,2.8,7.4,0.371,1.3,4.7,0.268,2,3,0.667,1.7,3.4,5.1,0.3,0.4,0.2,0.2,2.6
1430,Tekao Carpenter,NCCU,12,26.2,8.8,2.8,6.6,0.418,1.6,4.4,0.358,1.7,2.1,0.8,0.8,1.3,2.1,1.2,0.9,0.1,1.3,2.3
1431,Ian Jackson,STJ,19,17.9,8.7,2.8,7.3,0.388,1.3,3.5,0.364,1.8,1.9,0.919,0.2,1.8,2.1,1.3,1,0.3,1.4,1.5
1432,"Jason Thirdkill, Jr.",JAC,18,27.6,8.7,2.8,5.5,0.515,0.7,1.9,0.343,2.4,3.1,0.768,1.8,4.8,6.6,0.6,0.9,0.9,0.9,2.7
1433,Lamar Washington,GT,18,28.1,8.7,2.8,7.9,0.359,0.6,2.3,0.238,2.5,3.4,0.738,0.5,4.1,4.6,4.4,1.6,0.4,2.8,2.1
1434,Jason Schofield,MRST,18,17,8.7,3.7,6.6,0.555,0,0,0,1.4,1.9,0.735,1.6,2.8,4.3,1.1,0.5,0.9,1.1,2
1435,Corey Caulker,ECAR,18,30.2,8.7,3.2,7.7,0.41,1.7,4.2,0.413,0.7,0.9,0.706,0.2,1.9,2.1,4.2,0.4,0.1,1.5,2.1
1436,Zach Clemence,TAMU,18,17.5,8.7,3.1,6.2,0.5,1.3,3.4,0.393,1.2,1.5,0.778,1,1.9,2.9,0.7,0.6,0.6,0.7,3.2
1437,Ace Buckner,CLEM,18,20.2,8.7,2.8,6.4,0.435,1.1,2.7,0.417,2.1,2.5,0.822,0.3,2,2.3,1.9,0.9,0.1,1.3,2.2
1438,Dallas Howell,UNA,18,33.8,8.7,3.1,8.9,0.342,2,7.2,0.279,0.6,0.9,0.647,0.7,2.9,3.7,0.8,0.9,1.1,0.8,2.4
1439,T.J. Robinson,STPC,18,17,8.7,2.2,5.8,0.381,0.3,1.4,0.2,4,5.4,0.735,0.4,1.2,1.6,2.2,0.7,0,1.9,1.5
1440,Connor Igoe,COM,14,22.2,8.7,3.3,7,0.469,0.7,1.9,0.385,1.4,2.7,0.526,2.4,3.4,5.9,3.4,0.9,0.1,2.2,2.8
1441,Josh Ahayere,COLGT,17,28.1,8.7,2.7,6,0.451,0.8,2.2,0.368,2.5,3.3,0.75,0.5,3.4,3.9,1.4,0.7,0.2,1,3.1
1442,Anthony Isaac,MAN,20,24.2,8.7,3.1,6.9,0.445,0,0.3,0,2.6,3.6,0.722,3.3,4.1,7.4,0.9,0.9,0.5,1.3,2.6
1443,"Damon Nicholas, Jr.",SHSU,20,28.3,8.7,3.3,7.1,0.461,1,2.1,0.488,1.2,1.6,0.774,1.6,3.7,5.3,2,1,0.1,1.1,2.2
1444,Yohan Traore,BTLR,20,21.2,8.7,3.1,5.6,0.559,0.2,0.6,0.25,2.4,3.2,0.734,1.3,2.3,3.5,0.6,0.3,0.3,0.5,1
1445,Maximus Nelson,IPFW,20,30.1,8.7,2.7,6.8,0.393,2.6,6.5,0.392,0.9,1,0.85,0.6,3.3,3.9,0.8,0.7,0.2,0.7,2.4
1446,Chase Dawson,MRHD,20,26.6,8.7,2.7,6.6,0.412,0.9,2.7,0.333,2.4,2.9,0.828,0.3,1.3,1.5,3.2,0.7,0,1.2,1.5
1447,Vice Zanki,NIAG,20,22.2,8.7,3.3,6.7,0.496,1.6,3.8,0.427,0.5,0.7,0.769,0.4,2.2,2.6,0.7,0.8,0.2,0.8,1.2
1448,Dillan Shaw,STMRY,18,32.2,8.7,2.9,6.7,0.438,1.9,4.3,0.449,0.8,1,0.833,1.2,4.4,5.6,2.1,0.8,0.6,0.9,2.7
1449,Mario Saint-Supery,ZAGS,18,22.6,8.7,2.8,6.8,0.415,1.3,3.2,0.414,1.7,1.8,0.909,0.4,2.2,2.6,3.1,1.2,0.1,1.3,1.8
1450,K.J. Garris,CSFUL,18,16.3,8.7,2.8,5.6,0.51,1.3,2.9,0.453,1.7,2.2,0.75,0.4,2.7,3.1,0.6,0.8,0,0.4,1.4
1451,Nojus Indrusaitis,PITT,18,23.8,8.7,3,7.7,0.391,1.7,4.3,0.39,1,1.6,0.643,0.7,2.1,2.8,1.6,1,0.1,0.9,1.6
1452,Dez White,ORST,15,28.5,8.7,2.7,7.1,0.377,1.9,4.9,0.392,1.4,1.9,0.75,0.1,2.5,2.7,2.1,0.9,0.1,1.3,1.6
1453,Caleb Walker,AF,12,20,8.7,3.4,5.3,0.641,0,0.1,0,1.8,4.8,0.379,1.5,3.7,5.2,0.6,0.4,0.2,2.3,2.1
1454,Justin Moore,L-IL,9,26.8,8.7,3.2,8,0.403,1.4,4.2,0.342,0.8,1.3,0.583,0.1,1.4,1.6,3.1,0.7,0,3.2,1.7
1455,Elijah Elliott,NMSU,20,20.2,8.7,2.7,7.8,0.34,1.1,3.5,0.314,2.3,2.9,0.789,0.3,1.7,2,2.6,0.7,0.2,1.4,1.2
1456,D'Aundre Samuels,HCU,22,24.6,8.6,3.1,8.4,0.373,1,3.8,0.277,1.3,1.6,0.806,0.5,3.1,3.7,2.3,1,0.5,1.7,1.9
1457,James Morrow,SCSU,11,25.5,8.6,2.8,5.6,0.5,0.7,1.9,0.381,2.3,2.7,0.833,1.4,2.8,4.2,1.8,0.8,0.8,1.4,3.5
1458,George Natsvishvili,UND,16,20.3,8.6,3.1,6.2,0.495,0.1,0.2,0.333,2.4,4.1,0.6,2.6,2.3,4.9,1.1,0.7,0.1,1,2.7
1459,Keenan Garner,CMU,18,27,8.6,3.1,5.8,0.533,0.4,0.7,0.538,2,3.5,0.571,2.8,4.2,7,1.7,1.2,0.2,1.8,2.6
1460,Richard Goods,SB,18,26.7,8.6,3,7.4,0.403,0.9,3.3,0.283,1.7,2.9,0.566,1.8,4.2,6,2.1,0.9,0.8,1.3,2.3
1461,Noah Norgaard,UNCG,18,28.1,8.6,3.1,7.5,0.407,1.7,4.2,0.413,0.8,1.2,0.636,0.3,1.9,2.2,1.9,0.7,0.1,1.3,1.9
1462,Almar Atlason,MIAMI,18,18.9,8.6,2.8,7,0.397,1.6,4.8,0.326,1.5,2.1,0.73,0.3,2,2.3,0.7,0.1,0.2,0.7,2.3
1463,Tom Beattie,UCSD,20,31.4,8.6,3.3,8,0.406,1,3.7,0.27,1.1,1.8,0.611,0.7,4.3,5,3.4,1.5,0.3,1.5,1.7
1464,Hunter Erickson,HAW,20,32.1,8.6,3,6.6,0.455,1.3,3.4,0.382,1.3,2.1,0.634,0.3,4.1,4.4,4.1,1.1,0.6,2.6,1.9
1465,Kaden Cooper,LATCH,15,26,8.6,3,7.1,0.421,0.7,2.7,0.268,1.9,2.9,0.651,1.9,5.3,7.2,1.4,1.8,0.4,1.5,1.4
1466,Michael Teal,UMES,14,32.3,8.6,2.6,5.7,0.45,0.2,1.1,0.188,3.2,4.1,0.789,0.9,1.6,2.5,4.2,1.2,0.1,2.1,2.1
1467,Travelle Bryson,HWRD,14,17.6,8.6,3.5,7.1,0.49,0.6,2.2,0.29,0.9,1.1,0.867,0.8,2.1,2.9,1.1,0.9,0.4,0.9,1.4
1468,Will Berg,WICHI,18,22.7,8.6,3.1,5.7,0.539,0,0,0,2.4,3.8,0.638,3.6,4.7,8.3,0.6,0.5,1.3,1.1,3.2
1469,Mason Lee,UNF,18,27.6,8.6,3.2,5.6,0.58,1,2.7,0.375,1.1,1.8,0.606,1.9,4.8,6.7,2.3,0.5,0.4,2.1,3.5
1470,Chance Mallory,UVA,18,24.7,8.6,2.7,6.8,0.402,1,3.5,0.286,2.1,2.9,0.731,0.8,2.5,3.3,3.6,1.4,0.2,1.2,2
1471,Brooklyn Hicks,MONT,18,21.6,8.6,3.1,6.5,0.479,1.2,3.1,0.375,1.2,1.6,0.75,0.6,3.1,3.7,0.8,0.8,0.1,1,1.5
1472,Tanner Toolson,TCU,18,23.1,8.6,2.6,7.1,0.362,0.8,2.9,0.283,2.6,3.7,0.712,1.3,2.2,3.5,1.1,0.9,0.2,0.4,1.4
1473,Karyiek Dixon,WIU,9,31.4,8.6,3.3,7.3,0.455,0,0.4,0,1.9,2.4,0.773,3.3,4.8,8.1,0.8,1,0.2,1.2,2.8
1474,Jaden Kempson,ALBNY,9,30.7,8.6,3,8.6,0.351,0.8,2.8,0.28,1.8,2.6,0.696,1,4,5,2.3,0.8,0.8,1.9,1.8
1475,Darrion Baker,SIUE,20,24.1,8.6,3.1,6.4,0.48,1.4,2.9,0.466,1.1,1.7,0.667,1,3.8,4.7,0.8,0.7,0.4,1.4,3
1476,Jose Roberto Tanchyn,UMBC,15,23.5,8.5,3.1,6.5,0.485,0.9,2.6,0.359,1.3,1.7,0.769,1.5,6.3,7.8,1.1,1,0.5,0.7,2.3
1477,Jaehshon Thomas,DRAKE,19,20,8.5,2.8,7.3,0.388,0.7,3.1,0.237,2.1,2.8,0.741,0.6,1.6,2.3,1.3,0.4,0,0.9,1.3
1478,Sean Smith,MTSU,20,22.4,8.5,3.3,7,0.468,0.9,2.4,0.383,1.1,1.2,0.917,0.6,1.2,1.8,3.5,1.3,0.4,1.5,1.4
1479,Edwin Suarez,WEBER,18,21.2,8.5,3.4,6.8,0.504,0,0.2,0,1.6,3,0.537,2.3,3.4,5.8,1.3,1.4,0.5,1.7,3.1
1480,JaQuan Womack,TOWS,18,21.8,8.5,3.1,7.9,0.387,1,3.1,0.321,1.4,1.9,0.714,1.6,2.7,4.2,0.7,0.8,0.6,0.9,2
1481,Seydou Traore,U of U,18,28.7,8.5,2.9,8.1,0.366,1.2,3.9,0.296,1.4,2.1,0.703,0.6,2.4,3,2.1,1.2,0.4,1.5,1.8
1482,Montana Wheeler,BRDLY,20,22.9,8.5,2.9,7,0.407,1,2.8,0.345,1.9,2.3,0.804,0.2,1,1.2,2.5,0.4,0,1,1.7
1483,Tre Dinkins III,GW,18,19.5,8.5,2.7,6.8,0.402,2.1,5.3,0.396,0.9,1.2,0.81,0.4,1.3,1.7,1.7,0.4,0.1,1.2,1.4
1484,Luke Paragon,BRWN,13,19.6,8.5,2.7,6.1,0.443,1.6,4.5,0.362,1.5,1.5,0.95,0.3,1.1,1.4,0.5,0.2,0.2,0.8,1.6
1485,Ahmet Jonovic,BRDLY,20,26.2,8.5,2.9,5.6,0.509,0,0.1,0,2.8,3.8,0.733,1.5,4.6,6.1,1.3,0.6,1.4,1.7,2.8
1486,Landon Wolf,ILLST,20,24.3,8.5,3.1,5.8,0.539,1.5,3.3,0.462,0.8,0.9,0.833,1.9,3.3,5.1,0.6,0.7,0.2,1.1,2.2
1487,Nimari Burnett,MICH,20,19.9,8.5,3,6.6,0.455,1.8,4.3,0.407,0.7,0.9,0.778,0.3,1.8,2.1,1.1,0.6,0.1,0.8,1.5
1488,Matthew Hodge,VILL,18,27.2,8.4,2.9,6.3,0.469,1.7,4.2,0.4,0.9,1.4,0.615,1.2,2.1,3.3,0.4,0.3,0.6,0.4,2.1
1489,"Chris Lockett, Jr.",JAC,18,25.5,8.4,2.8,7.8,0.362,0.9,3.1,0.309,1.8,2.3,0.805,0.9,2.1,3.1,1.8,0.9,0.1,0.8,1.8
1490,David Castillo,KSU,18,31.5,8.4,3,8.9,0.335,1.6,4.8,0.322,0.9,1.1,0.8,0.1,1.5,1.6,1.2,0.5,0,1.3,2.6
1491,Julius Thedford,MEMP,16,21.8,8.4,2.9,5.9,0.484,0.4,1.4,0.304,2.3,3.3,0.679,1.9,2.8,4.6,0.7,1.1,0.3,1.1,2.3
1492,Conrad Martinez,HP,16,23.7,8.4,2.9,6.8,0.426,1,3.4,0.291,1.7,2.1,0.794,0.2,1.3,1.5,2.8,1.6,0.1,1.5,1.6
1493,Anthony Smith III,UND,16,17.8,8.4,3,6.3,0.48,0.4,1.4,0.304,2,2.3,0.889,0.5,1.6,2.1,2.1,0.6,0,1.1,1.7
1494,Curtis Givens III,MEMP,16,26.6,8.4,2.8,6.9,0.405,1.3,3.6,0.351,1.6,2.4,0.641,0.7,1.8,2.4,2.6,0.6,0.3,1.8,1.8
1495,Ashton Williamson,FIU,14,25.5,8.4,3.1,7.9,0.4,1.4,3.9,0.37,0.7,0.9,0.833,0.3,2,2.3,1.9,1.1,0.1,2.3,1.4
1496,Drake Allen,USU,20,25.9,8.4,2.9,6.3,0.464,1,2.7,0.358,1.7,2.8,0.589,0.6,2.1,2.7,4.4,1.8,0.5,2,2.3
1497,Marqueas Bell,SEMO,20,22.4,8.4,2.8,5.6,0.495,0.1,0.2,0.25,2.9,4,0.722,1.3,3.8,5.1,1.8,0.6,0.1,1.3,1.5
1498,Harrison Carrington,UCI,20,17.8,8.4,3.2,5.6,0.563,0.2,0.3,0.5,2,2.9,0.672,1.4,2.6,4,1,0.6,0.2,0.6,2
1499,Gabe Newhof,JMU,18,19.6,8.4,3.4,5.8,0.59,0,0,0,1.5,2.9,0.519,1.5,2.4,3.9,0.4,0.3,0.9,1.1,1.4
1500,Jaxon Ellingsworth,ARKST,18,21.1,8.4,2.8,6.2,0.455,1,2.9,0.346,1.7,2.3,0.738,1.7,2.9,4.6,0.6,0.5,0.2,1.2,2.2
1501,Arthur Cox,FDU,18,19.2,8.4,2.9,6,0.481,0.7,2.2,0.333,1.9,2.6,0.739,1.5,2.1,3.6,1.1,0.4,0.3,1.4,2.1
1502,Martin Kheil,IDHST,18,29.4,8.4,2.6,6.8,0.385,2,5.4,0.371,1.2,1.6,0.75,0.1,2.1,2.2,0.8,0.7,0.1,0.5,1.6
1503,D.A. Houston,TAMU-CC,18,20.2,8.4,2.6,6.1,0.427,1.2,2.7,0.449,1.9,2.8,0.686,0.3,0.9,1.2,2.5,0.6,0.2,1.8,2.6
1504,A.J. George,CSUB,18,28.2,8.4,3.4,8.4,0.404,0.3,1.6,0.179,1.3,1.7,0.774,0.9,2.1,3.1,1.4,0.3,0.2,1.9,2.3
1505,Youri Fritz,NEU,13,23.7,8.4,3.5,6.1,0.57,0,0.2,0,1.5,2.7,0.543,1.5,3.8,5.3,1.9,0.4,0.6,1.4,2.5
1506,Joshua Ola-Joseph,L-IL,16,23.8,8.4,2.8,6.7,0.411,1,3.8,0.267,1.9,2.6,0.714,1.8,2.6,4.4,0.8,0.1,0.1,0.9,1.9
1507,Tayton Conerway,IU,17,17.5,8.4,3.1,5.1,0.616,0.6,1.7,0.379,1.5,2,0.735,0.5,1.6,2.1,2.8,0.8,0.1,1.4,2.1
1508,Andres Marrero,MERRI,20,29.1,8.4,2.5,6.2,0.403,1.8,5,0.364,1.6,1.8,0.861,0.2,1.7,1.9,1.6,1.5,0.3,0.7,1.1
1509,Jalen Haynes,SOILL,20,22.9,8.4,2.9,7.2,0.396,0.6,2.8,0.218,2.1,2.8,0.745,0.6,2,2.6,2.1,1.1,0.2,1.3,1.4
1510,Chol Machot,C of C,18,18.8,8.3,3.4,5.8,0.587,0.2,0.7,0.25,1.4,2.1,0.676,1.8,4,5.8,0.2,0.3,2.4,1.7,2.6
1511,Andrew Ball,MONM,18,21.3,8.3,3.2,5.8,0.543,1,2.7,0.367,1,1.6,0.643,0.9,3,3.9,0.7,0.6,0.6,0.7,1.2
1512,Tate McCubbin,APSU,18,28.4,8.3,2.6,7.2,0.354,1.9,5.3,0.354,1.3,1.8,0.75,0.6,3.6,4.2,0.9,1.2,0.3,0.8,2.3
1513,Duane Posey,TEXSO,15,19.9,8.3,3,5.5,0.549,0,0,0,2.3,2.7,0.854,2.4,3.3,5.7,0.5,0.5,0.3,1.3,2.6
1514,Madison Durr,UNCW,18,19.5,8.3,1.9,5.9,0.321,0.7,1.9,0.343,3.9,5.2,0.745,0.6,1.8,2.3,1.6,0.6,0.1,1.2,2.3
1515,Julien Gomez,UTRGV,22,24.8,8.3,2.8,6,0.47,1.3,3,0.418,1.4,1.9,0.756,1.2,2.3,3.5,1.8,0.9,0,1,2.9
1516,Kam Burton,SFA,22,18.8,8.3,2.7,6.1,0.44,2.4,5.4,0.445,0.5,0.7,0.75,0.2,1.5,1.7,0.2,0.6,0,0.3,1
1517,"D.J. Richards, Jr.",MCNST,22,22.6,8.3,2.3,6.5,0.359,1.8,5.4,0.339,1.9,2.4,0.788,0.4,1.6,2,0.8,0.9,0.2,0.9,2.3
1518,Zach Kraft,UND,16,26.7,8.3,2.7,5.8,0.462,2.1,5,0.425,0.8,0.9,0.867,0.6,2.4,3.1,0.4,0.9,0.2,0.6,2.1
1519,Rich Rolf,YSU,20,27.4,8.3,2.8,6.9,0.406,1.4,4.2,0.325,1.4,1.6,0.871,1.2,3.4,4.6,2.4,0.7,0.3,1,2.2
1520,Trey Simpson,KENN,20,27.8,8.3,2.8,7.2,0.385,1.8,5.4,0.333,1,1.8,0.571,1,3.6,4.6,0.6,0.8,1.6,1.3,2.1
1521,"Cornelius Robinson, Jr.",MONM,17,27.1,8.3,3.4,7.6,0.438,0.1,0.5,0.222,1.5,2.4,0.625,1.9,2.5,4.4,1.2,0.8,0.2,1.1,2.4
1522,"Teddy Washington, Jr.",CHATT,17,18.7,8.3,2.9,6.4,0.45,0.6,2.4,0.268,1.9,2.4,0.78,0.3,2.8,3.1,1.1,0.9,0.1,0.8,2
1523,Matt Mayock,AMERU,18,30.8,8.3,2.8,6.7,0.421,0.8,3.1,0.268,1.8,2.1,0.842,0.9,2.8,3.7,2.1,1.4,0.4,1.1,1.9
1524,Binael Basil,WAGNR,18,23.5,8.3,3.1,5.7,0.544,0.1,0.3,0.167,2,3.5,0.571,2.6,3.6,6.2,1.2,0.5,0.2,1.4,2.6
1525,Jordan Stiemke,L-MD,18,27.5,8.3,2.9,8.1,0.356,1.3,4.6,0.28,1.2,1.6,0.759,0.7,2.3,3.1,1.4,0.9,0.4,1,2.1
1526,Jackson Furman,USMA,18,26.1,8.3,2.7,8.1,0.336,1.6,5.2,0.309,1.2,1.4,0.88,0.7,3.1,3.7,1.6,0.9,0.2,1.9,3.1
1527,Kheni Briggs,UNH,15,22.5,8.3,2.9,6.1,0.478,1.1,2.9,0.372,1.3,1.8,0.741,0.1,0.9,1.1,1.3,1,0.1,1.4,1.5
1528,Brandon Muntu,TNTCH,20,26.3,8.3,2.8,7,0.396,1.6,4.7,0.34,1.2,1.3,0.92,1.2,2,3.2,0.8,0.8,0,0.4,1
1529,Jakhi Gumpton,STPC,20,24.7,8.3,3,6.9,0.428,0.6,2,0.308,1.8,2.6,0.673,1.7,3.5,5.2,0.9,0.7,0.7,2,2.9
1530,Demarion Burch,BRDLY,16,22.3,8.3,3.2,7.9,0.402,0.9,2.8,0.341,0.9,1.6,0.577,0.7,1.3,2,1,0.4,0.1,0.8,2.2
1531,Guzman Vasilic,POLY,17,25.2,8.2,2.8,6.7,0.421,1.9,5.3,0.367,0.6,0.9,0.733,0.6,1.8,2.4,0.9,0.6,0.2,1,1.8
1532,Isaac Harrell,ELON,18,26.3,8.2,2.9,5.8,0.5,1.3,3.2,0.397,1.2,1.5,0.778,1.4,2.6,4,0.4,0.8,0.1,0.1,1.8
1533,Tyler Thompson,MONT,18,31,8.2,2.6,6.4,0.4,2,5.3,0.379,1.1,1.3,0.87,0.2,3.7,3.9,1.4,0.9,0.3,1.2,1.4
1534,Mason Porter-Brown,LIU,18,20.8,8.2,2.8,5.7,0.485,1.1,3,0.352,1.6,2.1,0.784,1.4,2.3,3.7,0.6,0.8,0.3,1.2,2.4
1535,Ruben Dominguez,TAMU,18,23.7,8.2,2.4,7,0.349,2,5.7,0.35,1.3,1.6,0.857,0.3,2.4,2.7,1.3,0.4,0.1,0.4,1
1536,E.J. Ryans,WMY,18,27.4,8.2,2.7,6.4,0.414,1,2.9,0.34,1.9,2.2,0.872,0.8,1.1,1.9,1.9,0.6,0.1,1,2.4
1537,Legend Smiley,SANFR,18,23.9,8.2,2.7,6.3,0.425,1.7,4.1,0.419,1.2,1.3,0.913,0.5,1.7,2.2,0.5,0.4,0.2,1,2
1538,Jeremiah Jenkins,BRWN,14,32,8.2,2.8,7.6,0.368,1.1,3.5,0.306,1.6,2.2,0.71,0.6,2.7,3.3,5.4,1.7,0.2,2.9,2.7
1539,Alex Cotton,HWRD,14,24.5,8.2,2.6,6.9,0.375,2.4,5.8,0.407,0.7,1.1,0.625,0.6,2.1,2.8,1.1,0.9,0.2,0.8,1.7
1540,Quimari Peterson,UWASH,20,30.4,8.2,2.8,7.3,0.384,1.9,5.7,0.333,0.7,1,0.737,0.5,1.9,2.4,2.3,1,0.2,0.9,2.1
1541,Jalen Warley,ZAGS,16,23.2,8.2,3.5,5.6,0.622,0,0,0,1.2,1.7,0.704,1.6,2.9,4.5,2.3,1.6,0.2,1.1,2.6
1542,Narit Chotikavanic,SFA,22,22.1,8.2,2.5,7.1,0.359,2.1,6,0.351,1,1.3,0.786,0.3,2.8,3.1,0.8,0.8,0.1,0.4,1.4
1543,Joseph Tugler,U of H,18,23.6,8.2,3.2,4.8,0.667,0,0,0,1.7,2.5,0.689,3.3,2,5.3,0.9,0.9,1.2,0.9,2.9
1544,Adrian Wooley,LVILL,18,21.8,8.2,2.9,6.7,0.438,1,3.1,0.327,1.3,1.7,0.742,1.3,2.4,3.7,1.8,0.6,0.1,0.9,2.1
1545,"Chris Davis, Jr.",C of C,18,19.8,8.2,2.6,6.5,0.393,1.4,3.4,0.426,1.6,2.1,0.763,1.2,2.2,3.3,0.8,0.5,0,0.6,1.3
1546,Eli Beard,DREX,18,26.3,8.2,2.6,5.8,0.448,2.1,4.6,0.451,0.9,1.2,0.762,0.2,1.6,1.8,1.7,0.7,0,1.3,1.3
1547,Jordan Pennick,USNA,18,29,8.2,2.7,7.2,0.377,1.5,4.7,0.318,1.2,1.9,0.647,0.2,2.4,2.6,1.6,0.8,0.2,1.3,2.1
1548,Alec Oglesby,MTSU,19,25.1,8.2,2.6,6.5,0.398,1.9,5.2,0.378,1.1,1.4,0.741,0.5,1.5,1.9,0.8,0.8,0.1,0.6,1.4
1549,Eric Mahaffey,AKR,17,22.6,8.1,2.9,5.7,0.505,0.9,2.1,0.417,1.5,1.8,0.806,1.8,4.2,6,1.9,0.8,0.8,1,2.4
1550,Keeyan Itejere,URI,18,29.1,8.1,3.1,5,0.611,0,0,0,2,2.9,0.679,2.7,3.2,5.9,0.4,0.9,1.6,1.5,3.6
1551,Jalen Washington,VANDY,18,22.1,8.1,2.9,5.7,0.52,0.2,0.8,0.286,2,3,0.667,2.3,3.9,6.2,0.7,0.5,1.3,1.2,2.8
1552,Kolten Griffin,UWG,18,33.9,8.1,3.3,6.6,0.5,0.8,1.9,0.429,0.7,1,0.722,0.8,3.2,4,2.7,1.5,0.7,1.8,3.1
1553,Malek Gomma,WEBER,18,25.8,8.1,3.2,6.5,0.496,0,0.1,0,1.7,3.3,0.508,2.7,3.9,6.7,1.3,0.5,0,1.1,2.4
1554,Reece Robinson,UNT,18,22.6,8.1,3.1,6.1,0.509,0.6,1.4,0.385,1.3,2,0.667,2.4,2.3,4.8,0.4,0.7,0.6,0.8,3.4
1555,Davian Williams,ALCST,18,28.5,8.1,2.9,7.9,0.364,1.2,3.7,0.328,1.1,1.3,0.833,0.7,2.4,3.1,1.3,1.5,0.1,1.1,1.8
1556,Arrinten Page,NWU,19,20.6,8.1,3.1,6.1,0.513,0.3,1.4,0.231,1.6,2.4,0.652,1.1,2.3,3.4,1.3,0.8,1.2,1.4,1.5
1557,Bryce Cofield,CSFUL,20,21.4,8.1,3,6.8,0.441,0.1,0.8,0.063,2.1,3.8,0.539,1,3.7,4.7,2.2,0.9,0.6,2.2,2
1558,Jean Aranguren,GW,18,24.8,8.1,2.7,5.8,0.471,0.9,2.2,0.4,1.7,2.2,0.795,1.9,2.7,4.6,3.4,1.4,0.4,1.8,2.5
